root,group,prob,fold,eax.par10,eax.par10.log1p,eax.pqr10,eax.pqr10.log1p,lkh.par10,lkh.par10.log1p,lkh.pqr10,lkh.pqr10.log1p,concorde.par10,concorde.par10.log1p,concorde.pqr10,concorde.pqr10.log1p
ecj2018,national-500-5000,lu980.tsp,10,3.0768999999999997,1.4053368956972068,1.767,1.0177637008047888,1.823,1.0378001492713522,1.7014999999999998,0.9938071743019833,61.381600000000006,4.133270360097274,61.4685,4.134662429691665
ecj2018,national-500-5000,mu1979.tsp,5,7.5616,2.1472870885749034,6.5595,2.022805050438119,70.1481,4.264763620033129,42.2585,3.767193745859953,2216.7697,7.7042573302380335,2010.1695,7.606471672645415
ecj2018,national-500-5000,rw1621.tsp,10,3.6409999999999996,1.5349298602590387,2.7270000000000003,1.3156036204971215,7.396599999999999,2.127826862006295,4.5455,1.7129867880626592,55.1505,4.028035585864306,54.5065,4.016500131011832
ecj2018,national-500-5000,uy734.tsp,6,4.4295,1.691847048674818,3.685,1.5443659156903857,1.3167000000000002,0.8401437592942864,1.125,0.7537718023763802,146.2051,4.9918268524337215,142.152,4.96390700280524
ecj2018,national-500-5000,zi929.tsp,1,4.2496,1.6581518832247002,3.0004999999999997,1.3864193533080416,17.485,2.9169595923885954,12.410499999999999,2.5960379822062514,88.473,4.4939369037898045,88.616,4.495533875467476
ecj2018,netgen,1000-10-1.tsp,5,3.9723999999999977,1.6039026209354228,4.005,1.6104374127671839,111.71029999999999,4.724820809948608,92.3445,4.536296950201647,23.1036,3.1823612069342486,22.6325,3.162622883317402
ecj2018,netgen,1000-10-10.tsp,8,3.4884999999999984,1.5015185702146057,3.6334999999999953,1.533312522044608,2.964300000000001,1.377329294734241,2.39150000000001,1.2212723014040001,13.45389999999999,2.6709642743367867,13.459,2.671317058045989
ecj2018,netgen,1000-10-11.tsp,7,4.177600000000011,1.644341628441983,3.8029999999999946,1.569240722682686,176.3605,5.178184384429026,69.96549999999995,4.262193843453166,47.864499999999985,3.889051161465861,47.068000000000055,3.8726166750490543
ecj2018,netgen,1000-10-12.tsp,1,3.2567000000000013,1.4484942121992406,3.1225,1.416459775451617,11.483799999999992,2.524431803773955,10.31949999999995,2.426526902188219,21.940500000000032,3.132903907453235,20.6715,3.0759980332726475
ecj2018,netgen,1000-10-13.tsp,2,4.5459000000000005,1.7130589160176828,3.8565,1.5803180138602484,5.0402,1.7984371239812955,4.329999999999995,1.6733512381777522,27.617,3.3540009468311807,26.947500000000048,3.3303277501623456
